16
0 9 0 0 2 0 3 8 A 0 0 0 0 0 0 0 
0 1 0 6 0 0 D 0 0 0 8 0 F 0 B 5 
0 0 0 3 0 B 0 0 0 5 0 0 G 0 0 0 
7 0 0 F 0 0 0 A 0 0 G 1 0 4 0 0 
G 0 0 0 0 0 0 D 0 A C 7 0 0 0 F 
0 0 0 0 1 3 0 F 0 B 0 8 0 0 0 0 
1 8 0 A 0 0 0 E 0 0 0 0 2 0 0 6 
5 0 0 0 0 0 0 0 0 D 0 0 E G 4 1 
9 0 0 0 E 0 0 0 7 1 0 0 0 A 0 4 
0 0 0 0 0 0 1 0 0 9 0 E C 0 8 0 
0 2 C D 0 0 7 0 4 0 0 0 0 E 5 0 
0 4 0 0 0 0 0 0 0 0 D 6 0 0 0 G 
0 0 0 0 F 8 B 4 0 0 0 2 A 0 0 0 
E 3 0 0 9 7 0 0 6 0 0 0 0 0 0 0 
0 F 8 4 0 0 A 0 0 0 5 0 6 0 0 9 
0 0 0 0 0 2 0 1 8 0 0 B 0 0 0 D 
